Facility Name,Payment Entered,Payment Received,Other Ref #,Credit Source(w Payer),Payment Total Paid (Sum),Payment Check #
Facility-B,25-05-2023,25-05-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$1968.78,NC#
Facility-B,21-10-2023,21-10-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$2983.05,NC#
Facility-B,14-05-2023,14-05-2023,ABCDEF,CIGNA HEALTH PLANS,$2495.67,NC#
Facility-B,27-11-2023,27-11-2023,ABCDEF,CIGNA HEALTH PLANS,$736.23,NC#
Facility-B,26-02-2023,26-02-2023,ABCDEF,CIGNA HEALTH PLANS,$2074.28,NC#
Facility-B,31-07-2023,31-07-2023,ABCDEF,CIGNA HEALTH PLANS,$2131.49,NC#
Facility-B,23-03-2023,23-03-2023,ABCDEF,CIGNA HEALTH PLANS,$4685.96,NC#
Facility-B,25-08-2023,25-08-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2681.89,NC#
Facility-B,02-01-2024,02-01-2024,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2778.64,NC#
Facility-B,04-05-2023,04-05-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3365.96,NC#
Facility-B,28-05-2023,28-05-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4887.32,NC#
Facility-B,08-07-2023,08-07-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1478.06,NC#
Facility-B,21-03-2023,21-03-2023,ABCDEF,AETNA,$603.25,NC#
Facility-B,31-05-2023,31-05-2023,ABCDEF,AETNA,$3678.57,NC#
Facility-B,02-01-2024,02-01-2024,ABCDEF,AETNA,$4172.44,NC#
Facility-B,30-06-2023,30-06-2023,ABCDEF,AETNA,$585.18,NC#
Facility-B,03-11-2023,03-11-2023,ABCDEF,AETNA,$3634.04,NC#
Facility-B,20-12-2023,20-12-2023,ABCDEF,COMPSYCH,$4866.27,NC#
Facility-B,03-07-2023,03-07-2023,ABCDEF,COMPSYCH,$1820.95,NC#
Facility-B,08-09-2023,08-09-2023,ABCDEF,COMPSYCH,$4665.46,NC#
Facility-B,27-06-2023,27-06-2023,ABCDEF,COMPSYCH,$4649.88,NC#
Facility-B,28-05-2023,28-05-2023,ABCDEF,COMPSYCH,$3659.57,NC#
Facility-B,18-09-2023,18-09-2023,ABCDEF,PRIORITY HEALTH OF MICHIGAN,$1281.18,NC#
Facility-B,07-02-2023,07-02-2023,ABCDEF,PRIORITY HEALTH OF MICHIGAN,$338.54,NC#
Facility-B,22-12-2023,22-12-2023,ABCDEF,PRIORITY HEALTH OF MICHIGAN,$2164.76,NC#
Facility-B,20-09-2023,20-09-2023,ABCDEF,PRIORITY HEALTH OF MICHIGAN,$4175.70,NC#
Facility-B,26-01-2023,26-01-2023,ABCDEF,PRIORITY HEALTH OF MICHIGAN,$2945.33,NC#
Facility-B,02-05-2023,02-05-2023,ABCDEF,PRIORITY HEALTH OF MICHIGAN,$1972.99,NC#
Facility-B,25-06-2023,25-06-2023,ABCDEF,PRIORITY HEALTH OF MICHIGAN,$41.96,NC#
Facility-B,14-06-2023,14-06-2023,ABCDEF,PRIORITY HEALTH OF MICHIGAN,$1834.75,NC#
Facility-B,27-02-2023,27-02-2023,ABCDEF,PRIORITY HEALTH OF MICHIGAN,$3931.08,NC#
Facility-B,16-08-2023,16-08-2023,ABCDEF,PRIORITY HEALTH OF MICHIGAN,$1757.40,NC#
Facility-B,02-10-2023,02-10-2023,ABCDEF,AETNA,$1221.45,NC#
Facility-B,22-03-2023,22-03-2023,ABCDEF,AETNA,$1092.06,NC#
Facility-B,06-01-2024,06-01-2024,ABCDEF,AETNA,$4910.71,NC#
Facility-B,26-01-2023,26-01-2023,ABCDEF,AETNA,$4936.51,NC#
Facility-B,23-03-2023,23-03-2023,ABCDEF,AETNA,$3059.96,NC#
Facility-B,17-05-2023,17-05-2023,ABCDEF,ASR PHYSICIANS CARE,$3003.98,NC#
Facility-B,21-11-2023,21-11-2023,ABCDEF,ASR PHYSICIANS CARE,$3193.72,NC#
Facility-B,30-10-2023,30-10-2023,ABCDEF,ASR PHYSICIANS CARE,$2332.14,NC#
Facility-B,29-03-2023,29-03-2023,ABCDEF,ASR PHYSICIANS CARE,$4489.44,NC#
Facility-B,23-08-2023,23-08-2023,ABCDEF,ASR PHYSICIANS CARE,$1779.18,NC#
Facility-B,28-06-2023,28-06-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4783.32,NC#
Facility-B,02-02-2023,02-02-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2702.66,NC#
Facility-B,15-05-2023,15-05-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1230.99,NC#
Facility-B,26-10-2023,26-10-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2640.56,NC#
Facility-B,19-10-2023,19-10-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$581.20,NC#
Facility-B,14-10-2023,14-10-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$69.66,NC#
Facility-B,17-05-2023,17-05-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1184.74,NC#
Facility-B,12-12-2023,12-12-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1460.09,NC#
Facility-B,30-07-2023,30-07-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4650.90,NC#
Facility-B,17-07-2023,17-07-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3025.70,NC#
Facility-B,28-01-2023,28-01-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$56.71,NC#
Facility-B,01-06-2023,01-06-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1569.58,NC#
Facility-B,28-12-2023,28-12-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4560.10,NC#
Facility-B,12-12-2023,12-12-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3479.59,NC#
Facility-B,13-03-2023,13-03-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$51.23,NC#
Facility-B,18-05-2023,18-05-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2019.15,NC#
Facility-B,28-04-2023,28-04-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3149.36,NC#
Facility-B,15-03-2023,15-03-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4181.35,NC#
Facility-B,05-06-2023,05-06-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4868.78,NC#
Facility-B,13-07-2023,13-07-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1943.80,NC#
Facility-B,21-10-2023,21-10-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$215.59,NC#
Facility-B,16-04-2023,16-04-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3010.56,NC#
Facility-B,01-12-2023,01-12-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3559.56,NC#
Facility-B,18-04-2023,18-04-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4998.26,NC#
Facility-B,23-04-2023,23-04-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3229.70,NC#
Facility-B,24-01-2023,24-01-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$807.63,NC#
Facility-B,21-03-2023,21-03-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2165.30,NC#
Facility-B,29-04-2023,29-04-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2384.21,NC#
Facility-B,25-11-2023,25-11-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2184.68,NC#
Facility-B,24-02-2023,24-02-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1114.20,NC#
Facility-B,25-10-2023,25-10-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2140.69,NC#
Facility-B,13-06-2023,13-06-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2939.77,NC#
Facility-B,29-11-2023,29-11-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1345.40,NC#
Facility-B,13-08-2023,13-08-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1218.10,NC#
Facility-B,20-01-2023,20-01-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3669.36,NC#
Facility-B,16-11-2023,16-11-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4287.54,NC#
Facility-B,07-03-2023,07-03-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2301.03,NC#
Facility-B,23-08-2023,23-08-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2318.22,NC#
Facility-B,13-05-2023,13-05-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3680.66,NC#
Facility-B,09-04-2023,09-04-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3865.63,NC#
Facility-A,23-10-2023,23-10-2023,ABCDEF,UMR FKA UMR WAUSAU,$3313.08,NC#
Facility-A,29-10-2023,29-10-2023,ABCDEF,UMR FKA UMR WAUSAU,$2782.15,NC#
Facility-A,18-05-2023,18-05-2023,ABCDEF,UMR FKA UMR WAUSAU,$71.87,NC#
Facility-A,07-07-2023,07-07-2023,ABCDEF,UMR FKA UMR WAUSAU,$3290.26,NC#
Facility-A,09-12-2023,09-12-2023,ABCDEF,UMR FKA UMR WAUSAU,$1048.83,NC#
Facility-A,09-11-2023,09-11-2023,ABCDEF,UMR FKA UMR WAUSAU,$4349.24,NC#
Facility-A,08-04-2023,08-04-2023,ABCDEF,UMR FKA UMR WAUSAU,$274.18,NC#
Facility-A,20-10-2023,20-10-2023,ABCDEF,UMR FKA UMR WAUSAU,$267.31,NC#
Facility-A,06-09-2023,06-09-2023,ABCDEF,UMR FKA UMR WAUSAU,$269.60,NC#
Facility-A,22-03-2023,22-03-2023,ABCDEF,UMR FKA UMR WAUSAU,$1587.38,NC#
Facility-A,03-06-2023,03-06-2023,ABCDEF,UNITED HEALTHCARE,$1135.45,NC#
Facility-A,04-08-2023,04-08-2023,ABCDEF,UNITED HEALTHCARE,$3961.90,NC#
Facility-A,17-11-2023,17-11-2023,ABCDEF,UNITED HEALTHCARE,$112.59,NC#
Facility-A,12-03-2023,12-03-2023,ABCDEF,UNITED HEALTHCARE,$1143.70,NC#
Facility-A,13-06-2023,13-06-2023,ABCDEF,UNITED HEALTHCARE,$2803.60,NC#
Facility-A,11-09-2023,11-09-2023,ABCDEF,UNITED HEALTHCARE,$2325.80,NC#
Facility-A,05-03-2023,05-03-2023,ABCDEF,UNITED HEALTHCARE,$2840.57,NC#
Facility-A,24-08-2023,24-08-2023,ABCDEF,UNITED HEALTHCARE,$1593.33,NC#
Facility-A,22-05-2023,22-05-2023,ABCDEF,UNITED HEALTHCARE,$2272.50,NC#
Facility-A,05-04-2023,05-04-2023,ABCDEF,UNITED HEALTHCARE,$3805.99,NC#
Facility-A,04-07-2023,04-07-2023,ABCDEF,UNITED HEALTHCARE,$561.08,NC#
Facility-A,07-01-2024,07-01-2024,ABCDEF,UNITED HEALTHCARE,$2699.75,NC#
Facility-A,22-03-2023,22-03-2023,ABCDEF,UNITED HEALTHCARE,$929.48,NC#
Facility-A,23-10-2023,23-10-2023,ABCDEF,UNITED HEALTHCARE,$1872.29,NC#
Facility-A,17-04-2023,17-04-2023,ABCDEF,UNITED HEALTHCARE,$530.39,NC#
Facility-A,22-04-2023,22-04-2023,ABCDEF,UNITED HEALTHCARE,$2513.03,NC#
Facility-A,03-08-2023,03-08-2023,ABCDEF,UNITED HEALTHCARE,$3240.70,NC#
Facility-A,31-12-2023,31-12-2023,ABCDEF,UNITED HEALTHCARE,$4065.45,NC#
Facility-A,10-07-2023,10-07-2023,ABCDEF,UNITED HEALTHCARE,$1353.33,NC#
Facility-A,08-06-2023,08-06-2023,ABCDEF,UNITED HEALTHCARE,$3886.10,NC#
Facility-A,23-07-2023,23-07-2023,ABCDEF,AETNA,$2539.59,NC#
Facility-A,06-05-2023,06-05-2023,ABCDEF,AETNA,$3088.81,NC#
Facility-A,25-01-2023,25-01-2023,ABCDEF,AETNA,$2497.49,NC#
Facility-A,20-12-2023,20-12-2023,ABCDEF,AETNA,$4554.18,NC#
Facility-A,09-06-2023,09-06-2023,ABCDEF,AETNA,$1894.12,NC#
Facility-A,16-11-2023,16-11-2023,ABCDEF,UMR FKA UMR WAUSAU,$3781.01,NC#
Facility-A,15-10-2023,15-10-2023,ABCDEF,UMR FKA UMR WAUSAU,$2030.62,NC#
Facility-A,22-06-2023,22-06-2023,ABCDEF,UMR FKA UMR WAUSAU,$214.73,NC#
Facility-A,08-04-2023,08-04-2023,ABCDEF,UMR FKA UMR WAUSAU,$4052.14,NC#
Facility-A,20-04-2023,20-04-2023,ABCDEF,UMR FKA UMR WAUSAU,$859.72,NC#
Facility-A,03-09-2023,03-09-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4399.77,NC#
Facility-A,14-10-2023,14-10-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4785.57,NC#
Facility-A,09-09-2023,09-09-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$569.28,NC#
Facility-A,08-02-2023,08-02-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$519.57,NC#
Facility-A,09-06-2023,09-06-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1851.08,NC#
Facility-A,18-02-2023,18-02-2023,ABCDEF,UMR FKA UMR WAUSAU,$3262.65,NC#
Facility-A,07-04-2023,07-04-2023,ABCDEF,UMR FKA UMR WAUSAU,$4401.67,NC#
Facility-A,19-04-2023,19-04-2023,ABCDEF,UMR FKA UMR WAUSAU,$4911.13,NC#
Facility-A,15-12-2023,15-12-2023,ABCDEF,UMR FKA UMR WAUSAU,$1711.45,NC#
Facility-A,14-10-2023,14-10-2023,ABCDEF,UMR FKA UMR WAUSAU,$215.68,NC#
Facility-A,20-09-2023,20-09-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4928.72,NC#
Facility-A,24-05-2023,24-05-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3358.14,NC#
Facility-A,31-03-2023,31-03-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4652.45,NC#
Facility-A,18-07-2023,18-07-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3717.55,NC#
Facility-A,19-12-2023,19-12-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2433.31,NC#
Facility-A,09-08-2023,09-08-2023,ABCDEF,AETNA,$893.38,NC#
Facility-A,09-10-2023,09-10-2023,ABCDEF,AETNA,$4056.69,NC#
Facility-A,28-07-2023,28-07-2023,ABCDEF,AETNA,$3133.59,NC#
Facility-A,18-01-2023,18-01-2023,ABCDEF,AETNA,$19.40,NC#
Facility-A,13-04-2023,13-04-2023,ABCDEF,AETNA,$2676.79,NC#
Facility-B,18-01-2023,18-01-2023,ABCDEF,MERITAIN HEALTH MINNEAPOLIS,$3724.56,NC#
Facility-B,27-11-2023,27-11-2023,ABCDEF,MERITAIN HEALTH MINNEAPOLIS,$3629.62,NC#
Facility-B,31-12-2023,31-12-2023,ABCDEF,MERITAIN HEALTH MINNEAPOLIS,$3617.71,NC#
Facility-B,10-12-2023,10-12-2023,ABCDEF,MERITAIN HEALTH MINNEAPOLIS,$3721.23,NC#
Facility-B,30-12-2023,30-12-2023,ABCDEF,MERITAIN HEALTH MINNEAPOLIS,$1347.50,NC#
Facility-B,07-12-2023,07-12-2023,ABCDEF,UNITED HEALTHCARE,$4482.83,NC#
Facility-B,26-08-2023,26-08-2023,ABCDEF,UNITED HEALTHCARE,$1861.63,NC#
Facility-B,03-08-2023,03-08-2023,ABCDEF,UNITED HEALTHCARE,$3751.54,NC#
Facility-B,19-11-2023,19-11-2023,ABCDEF,UNITED HEALTHCARE,$761.78,NC#
Facility-B,10-03-2023,10-03-2023,ABCDEF,UNITED HEALTHCARE,$4659.09,NC#
Facility-B,28-04-2023,28-04-2023,ABCDEF,BEACON HEALTH STRATEGIES,$4227.83,NC#
Facility-B,18-07-2023,18-07-2023,ABCDEF,BEACON HEALTH STRATEGIES,$902.53,NC#
Facility-B,02-10-2023,02-10-2023,ABCDEF,BEACON HEALTH STRATEGIES,$4926.70,NC#
Facility-B,24-06-2023,24-06-2023,ABCDEF,BEACON HEALTH STRATEGIES,$813.60,NC#
Facility-B,24-05-2023,24-05-2023,ABCDEF,BEACON HEALTH STRATEGIES,$587.26,NC#
Facility-B,12-09-2023,12-09-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1708.69,NC#
Facility-B,09-02-2023,09-02-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1569.22,NC#
Facility-B,21-02-2023,21-02-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$694.51,NC#
Facility-B,08-02-2023,08-02-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2219.88,NC#
Facility-B,07-07-2023,07-07-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2961.98,NC#
Facility-B,30-09-2023,30-09-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$736.99,NC#
Facility-B,05-03-2023,05-03-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2374.33,NC#
Facility-B,02-03-2023,02-03-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4686.49,NC#
Facility-B,03-04-2023,03-04-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$4369.10,NC#
Facility-B,19-04-2023,19-04-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$2740.90,NC#
Facility-B,05-06-2023,05-06-2023,ABCDEF,IRON WORKERS LOCAL 395,$4402.58,NC#
Facility-B,13-02-2023,13-02-2023,ABCDEF,IRON WORKERS LOCAL 395,$4298.90,NC#
Facility-B,14-09-2023,14-09-2023,ABCDEF,IRON WORKERS LOCAL 395,$2236.53,NC#
Facility-B,27-10-2023,27-10-2023,ABCDEF,IRON WORKERS LOCAL 395,$2266.98,NC#
Facility-B,16-03-2023,16-03-2023,ABCDEF,IRON WORKERS LOCAL 395,$2302.35,NC#
Facility-B,15-11-2023,15-11-2023,ABCDEF,IRON WORKERS LOCAL 395,$3086.66,NC#
Facility-B,31-12-2023,31-12-2023,ABCDEF,IRON WORKERS LOCAL 395,$968.99,NC#
Facility-B,11-08-2023,11-08-2023,ABCDEF,IRON WORKERS LOCAL 395,$1699.78,NC#
Facility-B,12-05-2023,12-05-2023,ABCDEF,IRON WORKERS LOCAL 395,$4028.79,NC#
Facility-B,26-06-2023,26-06-2023,ABCDEF,IRON WORKERS LOCAL 395,$4272.53,NC#
Facility-B,28-09-2023,28-09-2023,ABCDEF,IRON WORKERS LOCAL 395,$1618.39,NC#
Facility-B,15-02-2023,15-02-2023,ABCDEF,IRON WORKERS LOCAL 395,$1292.69,NC#
Facility-B,15-06-2023,15-06-2023,ABCDEF,IRON WORKERS LOCAL 395,$4401.85,NC#
Facility-B,10-03-2023,10-03-2023,ABCDEF,IRON WORKERS LOCAL 395,$3835.61,NC#
Facility-B,06-11-2023,06-11-2023,ABCDEF,IRON WORKERS LOCAL 395,$1537.64,NC#
Facility-B,01-10-2023,01-10-2023,ABCDEF,IRON WORKERS LOCAL 395,$406.12,NC#
Facility-B,22-03-2023,22-03-2023,ABCDEF,IRON WORKERS LOCAL 395,$734.22,NC#
Facility-B,24-03-2023,24-03-2023,ABCDEF,IRON WORKERS LOCAL 395,$823.67,NC#
Facility-B,01-06-2023,01-06-2023,ABCDEF,IRON WORKERS LOCAL 395,$2828.02,NC#
Facility-B,17-03-2023,17-03-2023,ABCDEF,IRON WORKERS LOCAL 395,$475.51,NC#
Facility-B,14-09-2023,14-09-2023,ABCDEF,IRON WORKERS LOCAL 395,$1207.97,NC#
Facility-B,27-08-2023,27-08-2023,ABCDEF,IRON WORKERS LOCAL 395,$1820.61,NC#
Facility-B,22-04-2023,22-04-2023,ABCDEF,IRON WORKERS LOCAL 395,$3097.53,NC#
Facility-B,30-03-2023,30-03-2023,ABCDEF,IRON WORKERS LOCAL 395,$4874.18,NC#
Facility-B,24-03-2023,24-03-2023,ABCDEF,IRON WORKERS LOCAL 395,$2242.16,NC#
Facility-B,25-10-2023,25-10-2023,ABCDEF,IRON WORKERS LOCAL 395,$63.29,NC#
Facility-B,13-05-2023,13-05-2023,ABCDEF,IRON WORKERS LOCAL 395,$1233.76,NC#
Facility-B,07-07-2023,07-07-2023,ABCDEF,IRON WORKERS LOCAL 395,$2285.91,NC#
Facility-B,20-09-2023,20-09-2023,ABCDEF,IRON WORKERS LOCAL 395,$2823.76,NC#
Facility-B,13-02-2023,13-02-2023,ABCDEF,IRON WORKERS LOCAL 395,$300.98,NC#
Facility-B,01-06-2023,01-06-2023,ABCDEF,IRON WORKERS LOCAL 395,$3731.13,NC#
Facility-B,14-05-2023,14-05-2023,ABCDEF,IRON WORKERS LOCAL 395,$3834.95,NC#
Facility-B,06-09-2023,06-09-2023,ABCDEF,IRON WORKERS LOCAL 395,$1805.01,NC#
Facility-B,28-08-2023,28-08-2023,ABCDEF,IRON WORKERS LOCAL 395,$1616.11,NC#
Facility-B,15-11-2023,15-11-2023,ABCDEF,IRON WORKERS LOCAL 395,$3616.57,NC#
Facility-B,09-02-2023,09-02-2023,ABCDEF,IRON WORKERS LOCAL 395,$3118.53,NC#
Facility-B,29-11-2023,29-11-2023,ABCDEF,IRON WORKERS LOCAL 395,$1104.35,NC#
Facility-B,23-08-2023,23-08-2023,ABCDEF,IRON WORKERS LOCAL 395,$2828.46,NC#
Facility-B,01-06-2023,01-06-2023,ABCDEF,IRON WORKERS LOCAL 395,$1578.76,NC#
Facility-B,24-03-2023,24-03-2023,ABCDEF,IRON WORKERS LOCAL 395,$1909.42,NC#
Facility-A,22-10-2023,22-10-2023,ABCDEF,IRON WORKERS LOCAL 395,$1348.14,NC#
Facility-A,26-11-2023,26-11-2023,ABCDEF,IRON WORKERS LOCAL 395,$2663.94,NC#
Facility-A,14-09-2023,14-09-2023,ABCDEF,IRON WORKERS LOCAL 395,$4879.60,NC#
Facility-A,08-12-2023,08-12-2023,ABCDEF,IRON WORKERS LOCAL 395,$791.22,NC#
Facility-A,17-09-2023,17-09-2023,ABCDEF,IRON WORKERS LOCAL 395,$2489.36,NC#
Facility-A,13-03-2023,13-03-2023,ABCDEF,IRON WORKERS LOCAL 395,$2576.82,NC#
Facility-A,09-10-2023,09-10-2023,ABCDEF,IRON WORKERS LOCAL 395,$4590.81,NC#
Facility-A,02-08-2023,02-08-2023,ABCDEF,IRON WORKERS LOCAL 395,$253.90,NC#
Facility-A,27-07-2023,27-07-2023,ABCDEF,IRON WORKERS LOCAL 395,$1528.37,NC#
Facility-A,18-01-2024,18-01-2024,ABCDEF,IRON WORKERS LOCAL 395,$87.53,NC#
Facility-A,21-08-2023,21-08-2023,ABCDEF,OK OPERATING ENGINEERS,$4522.03,NC#
Facility-A,08-05-2023,08-05-2023,ABCDEF,OK OPERATING ENGINEERS,$1573.95,NC#
Facility-A,07-04-2023,07-04-2023,ABCDEF,OK OPERATING ENGINEERS,$557.69,NC#
Facility-A,16-05-2023,16-05-2023,ABCDEF,OK OPERATING ENGINEERS,$2791.87,NC#
Facility-A,03-04-2023,03-04-2023,ABCDEF,OK OPERATING ENGINEERS,$1625.67,NC#
Facility-A,08-11-2023,08-11-2023,ABCDEF,PRIORITY HEALTH OF MICHIGAN,$986.49,NC#
Facility-A,27-06-2023,27-06-2023,ABCDEF,PRIORITY HEALTH OF MICHIGAN,$3421.75,NC#
Facility-A,17-03-2023,17-03-2023,ABCDEF,PRIORITY HEALTH OF MICHIGAN,$341.68,NC#
Facility-A,31-05-2023,31-05-2023,ABCDEF,PRIORITY HEALTH OF MICHIGAN,$3880.27,NC#
Facility-A,17-05-2023,17-05-2023,ABCDEF,PRIORITY HEALTH OF MICHIGAN,$1267.79,NC#
Facility-A,20-05-2023,20-05-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$454.05,NC#
Facility-A,03-01-2024,03-01-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$2299.22,NC#
Facility-A,24-06-2023,24-06-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$2063.98,NC#
Facility-A,11-10-2023,11-10-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$4071.66,NC#
Facility-A,07-01-2024,07-01-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$3680.24,NC#
Facility-A,11-10-2023,11-10-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$929.69,NC#
Facility-A,22-08-2023,22-08-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$3476.76,NC#
Facility-A,28-09-2023,28-09-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$918.47,NC#
Facility-A,26-01-2023,26-01-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$307.61,NC#
Facility-A,25-11-2023,25-11-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$3429.15,NC#
Facility-A,13-04-2023,13-04-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$2419.83,NC#
Facility-A,01-01-2024,01-01-2024,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$154.57,NC#
Facility-A,27-06-2023,27-06-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$4930.34,NC#
Facility-A,06-02-2023,06-02-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$2281.62,NC#
Facility-A,21-01-2023,21-01-2023,ABCDEF,BLUE CROSS AND BLUE SHIELD OF FLORIDA,$1892.79,NC#
Facility-A,23-10-2023,23-10-2023,ABCDEF,AETNA,$2368.58,NC#
Facility-A,04-01-2024,04-01-2024,ABCDEF,AETNA,$4476.27,NC#
Facility-A,25-04-2023,25-04-2023,ABCDEF,AETNA,$3017.03,NC#
Facility-A,08-07-2023,08-07-2023,ABCDEF,AETNA,$1557.14,NC#
Facility-A,12-07-2023,12-07-2023,ABCDEF,AETNA,$1455.72,NC#
Facility-A,03-02-2023,03-02-2023,ABCDEF,AETNA,$4255.02,NC#
Facility-A,25-07-2023,25-07-2023,ABCDEF,AETNA,$2857.35,NC#
Facility-A,01-07-2023,01-07-2023,ABCDEF,AETNA,$2668.62,NC#
Facility-A,27-12-2023,27-12-2023,ABCDEF,AETNA,$612.94,NC#
Facility-A,06-07-2023,06-07-2023,ABCDEF,AETNA,$3314.79,NC#
Facility-A,18-02-2023,18-02-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1348.15,NC#
Facility-A,12-07-2023,12-07-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$1506.25,NC#
Facility-A,05-08-2023,05-08-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3809.08,NC#
Facility-A,05-07-2023,05-07-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$555.78,NC#
Facility-A,16-12-2023,16-12-2023,ABCDEF,CIGNA BEHAVIORAL HEALTH,$3679.05,NC#
Facility-A,12-10-2023,12-10-2023,ABCDEF,UNITED HEALTHCARE,$4046.56,NC#
Facility-A,08-10-2023,08-10-2023,ABCDEF,UNITED HEALTHCARE,$4183.85,NC#
Facility-A,26-05-2023,26-05-2023,ABCDEF,UNITED HEALTHCARE,$1816.39,NC#
Facility-A,19-05-2023,19-05-2023,ABCDEF,UNITED HEALTHCARE,$2060.37,NC#
